empty_slots,free_bikes,stn_id,latitude,longitude,station,timestamp,stn_dist_to_center_km,yelp_250,yelp_350,yelp_500,yelp_100,four_100_y,four_250_y,four_350_y,four_500_y,total_bikes
15,23,7f0baf8054547e62f029e717f4f1ea31,60.15544479382098,24.950292889690314,Kaivopuisto,2023-10-18T20:35:03.826000Z,2.0018547130919786,0,0,4,0,3,30,67,129,38
10,4,9260e3f88cfd9ede2dacf66685cc9595,60.160959094315416,24.95634747175871,Laivasillankatu,2023-10-18T20:35:03.845000Z,1.7363489407967925,0,0,3,0,2,22,44,97,14
4,14,d6df69b46a8a140b89af51eb17c69309,60.1581892,24.9449274,Kapteeninpuistikko,2023-10-18T20:35:03.861000Z,1.5929940948965127,8,13,25,2,6,44,85,184,18
10,6,fc993e236043e904c4d229a3806cb458,60.1609859,24.9417758,Viiskulma,2023-10-18T20:35:03.867000Z,1.236669840051681,26,43,85,6,22,84,141,310,16
4,35,f21eedaefb3ce200e00b2f5ef79a86ed,60.1622251,24.9297099,Hietalahdentori,2023-10-18T20:35:03.875000Z,1.001732273464116,23,43,72,8,26,81,153,270,39
14,0,c9ccdb754e844d3a93d1e8bf0484ed84,60.1631032,24.94596,Designmuseo,2023-10-18T20:35:03.878000Z,1.1592989737475279,24,58,117,4,22,83,170,343,14
23,1,59ec8e91ebdedd1a5e90c2d248b5a963,60.1652883,24.9391499,Vanha kirkkopuisto,2023-10-18T20:35:03.881000Z,0.742627801671814,49,128,229,6,19,109,265,521,24
38,11,e8156a41707f9e2a901ea0fb614bd424,60.166890083486,24.9442610720753,Erottajan aukio,2023-10-18T20:35:03.883000Z,0.7994308796177299,56,144,288,8,25,161,360,625,49
27,1,bbb686b99f3216dce38c23e6f8fca44a,60.1650171805,24.94947287873,Kasarmitori,2023-10-18T20:35:03.892000Z,1.1561834110395968,42,68,146,5,20,96,205,398,28
18,7,4e86b1996c9d52fb79c89430f1af181a,60.1674573,24.9510227,Unioninkatu,2023-10-18T20:35:03.896000Z,1.1003151787850016,65,90,159,10,40,198,274,476,25
28,11,5830f735c285e06bc38bfbf2c29364a5,60.168384,24.9583814,Kanavaranta,2023-10-18T20:35:03.899000Z,1.4628662296070352,11,29,69,3,5,58,129,260,39
1,33,fa036e336e86ef29897a72de428cb14a,60.1678703,24.9755341,Merisotilaantori,2023-10-18T20:35:03.904000Z,2.410468090990107,1,3,6,1,6,20,28,67,34
16,10,372e747d387570ae1dbec858edf5cc85,60.169112,24.952197,Senaatintori,2023-10-18T20:35:03.907000Z,1.1102129274975001,44,77,165,12,46,140,221,484,26
6,11,cf5e31e876612bc7ef0057ffdec18398,60.17110664588,24.95555819284,Ritarikatu,2023-10-18T20:35:03.910000Z,1.2744465135490084,17,35,100,4,6,56,144,272,17
3,38,3476ce56a054b51f7d26cdb7bdafa45b,60.174140249623726,24.962084269349347,Liisanpuistikko,2023-10-18T20:35:03.914000Z,1.6713291828767618,6,8,26,0,5,22,42,85,41
24,4,f830d1e181e7bda6a800a1c686e23373,60.1731029004969,24.9495192737191,Varsapuistikko,2023-10-18T20:35:03.917000Z,0.9653346605403491,24,40,99,4,0,17,84,258,28
27,5,f41cd848f621624a29751af040e3dea3,60.16988,24.948522,Porthania,2023-10-18T20:35:03.921000Z,0.8942630358320717,81,116,212,16,17,163,334,555,32
9,23,52592a94f6004cc0f783ac448fb9287b,60.1708236,24.9425268,Rautatientori / itä,2023-10-18T20:35:03.923000Z,0.5519148519331584,85,154,222,9,27,211,345,596,32
15,5,cc338968572ff3413f3e18b52d12cd72,60.17219068,24.93930791,Töölönlahdenkatu,2023-10-18T20:35:03.933000Z,0.3916876885510146,23,75,200,6,12,175,273,588,20
3,23,72aea5a2b2a1fca28e1666354512b519,60.1706061,24.9397601,Rautatientori / länsi,2023-10-18T20:35:03.937000Z,0.4012628119034046,81,142,245,13,35,210,386,654,26
15,17,6e4be04bf12a0f1eebd701beca48f30f,60.171273,24.937106,Kiasma,2023-10-18T20:35:03.941000Z,0.25087623238558865,46,108,208,2,57,193,356,670,32
10,19,e7602c82ac0de81f48299dede77c0870,60.1690724,24.9394195,Mannerheimintie,2023-10-18T20:35:03.944000Z,0.44085244248260014,114,178,298,30,24,189,374,755,29
37,4,88bdf1583f5c41c1e561035dc58ec6fd,60.1700420359,24.93460698,Narinkka,2023-10-18T20:35:03.947000Z,0.16219386762186555,77,131,228,13,66,232,395,661,41
13,4,3b9c902dcb2225b847db82ff01739c8d,60.1658121,24.927021,Lastenlehto,2023-10-18T20:35:03.957000Z,0.6656044873621015,19,47,106,3,8,88,190,388,17
11,5,17bc0c13cf106ad992ea814dc9dbd915,60.164088,24.9225658,Baana,2023-10-18T20:35:03.959000Z,0.9595165084143051,9,19,39,0,5,56,111,252,16
37,3,45f8f4df2fea427a9b2e7ed8a21bab1b,60.1635309,24.9145165,Itämerentori,2023-10-18T20:35:03.965000Z,1.3111486447887044,4,9,10,0,19,54,90,148,40
20,0,0e4623a81415c8ff9be4fd04275c4ae8,60.1713589074265,24.9318975121428,Eläinmuseo,2023-10-18T20:35:03.968000Z,0.04850565987840252,20,70,140,4,53,180,364,560,20
14,3,7ba532af5b5d7f5dab43e1b74e8a898f,60.171196,24.924894,Kauppakorkeakoulu,2023-10-18T20:35:03.971000Z,0.427905601827089,14,22,63,3,16,61,129,405,17
12,5,101a8d31420c66b2ace1e14d4bd5c230,60.1739641,24.9329875,Kansallismuseo,2023-10-18T20:35:03.975000Z,0.31982844905768154,12,21,53,7,30,96,226,418,17
15,1,b877623a3318113942411f683025cf2a,60.174063715,24.92822758053,Cygnaeuksenkatu,2023-10-18T20:35:03.982000Z,0.40980692560072846,14,23,47,2,20,80,175,378,16
