categories,distance,geocodes,name
"[{'id': 16041, 'name': 'Plaza', 'short_name': 'Plaza', 'plural_name': 'Plazas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_', 'suffix': '.png'}}]",30,"{'main': {'latitude': 60.155163, 'longitude': 24.950551}}",Meritori
"[{'id': 13034, 'name': 'Café', 'short_name': 'Café', 'plural_name': 'Cafés', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'short_name': 'Coffee Shop', 'plural_name': 'Coffee Shops', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",80,"{'main': {'latitude': 60.153811, 'longitude': 24.955805}, 'roof': {'latitude': 60.153811, 'longitude': 24.955805}}",Cafe Compass
"[{'id': 16026, 'name': 'Monument', 'short_name': 'Monument', 'plural_name': 'Monuments', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_monument_', 'suffix': '.png'}}]",83,"{'main': {'latitude': 60.156055, 'longitude': 24.951384}}",Odotus-Patsas
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 11001, 'name': 'Advertising Agency', 'short_name': 'Advertising Agency', 'plural_name': 'Advertising Agencies', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]",106,"{'drop_off': {'latitude': 60.156334, 'longitude': 24.950128}, 'main': {'latitude': 60.156406, 'longitude': 24.95028}, 'roof': {'latitude': 60.156406, 'longitude': 24.95028}}",Wentzel T Oy
"[{'id': 16033, 'name': 'Dog Park', 'short_name': 'Dog Park', 'plural_name': 'Dog Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/dogrun_', 'suffix': '.png'}}]",115,"{'main': {'latitude': 60.156166, 'longitude': 24.951475}}",Kaivopuiston koira-aitaus
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}, {'id': 19000, 'name': 'Travel and Transportation', 'short_name': 'Travel and Transportation', 'plural_name': 'Travel and Transportation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}}]",117,"{'main': {'latitude': 60.15494, 'longitude': 24.948677}}",Merisatama
"[{'id': 16032, 'name': 'Park', 'short_name': 'Park', 'plural_name': 'Parks', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]",134,"{'main': {'latitude': 60.155256, 'longitude': 24.947842}}",Meripuisto
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",134,"{'drop_off': {'latitude': 60.156601, 'longitude': 24.949039}, 'main': {'latitude': 60.156487, 'longitude': 24.949053}, 'roof': {'latitude': 60.156487, 'longitude': 24.949053}}",RK Promotions Oy
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",164,"{'main': {'latitude': 60.156669, 'longitude': 24.948606}, 'roof': {'latitude': 60.156669, 'longitude': 24.948606}}",Djane J7
"[{'id': 16037, 'name': 'Playground', 'short_name': 'Playground', 'plural_name': 'Playgrounds', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/playground_', 'suffix': '.png'}}]",172,"{'main': {'latitude': 60.155521, 'longitude': 24.947171}}",Leikkipaikka Meripuisto
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",175,"{'main': {'latitude': 60.157018, 'longitude': 24.949987}, 'roof': {'latitude': 60.157018, 'longitude': 24.949987}}",Studio Aaria
"[{'id': 16030, 'name': 'Other Great Outdoors', 'short_name': 'Other Outdoors', 'plural_name': 'Other Great Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/outdoors_', 'suffix': '.png'}}]",179,"{'main': {'latitude': 60.155548, 'longitude': 24.953354}}",Miehelän Kalliot
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}]",209,"{'main': {'latitude': 60.155194, 'longitude': 24.946542}}",Ecuador
"[{'id': 16018, 'name': 'Harbor or Marina', 'short_name': 'Harbor / Marina', 'plural_name': 'Harbors or Marinas', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/harbor_', 'suffix': '.png'}}]",211,"{'main': {'latitude': 60.153777, 'longitude': 24.951898}}",Uunisaari May
"[{'id': 13065, 'name': 'Restaurant', 'short_name': 'Restaurant', 'plural_name': 'Restaurants', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",212,"{'main': {'latitude': 60.156989, 'longitude': 24.952575}}",Restaurant Elm
"[{'id': 10000, 'name': 'Arts and Entertainment', 'short_name': 'Arts & Entertainment', 'plural_name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 11038, 'name': 'Event Service', 'short_name': 'Event Services', 'plural_name': 'Event Services', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/event/default_', 'suffix': '.png'}}]",219,"{'main': {'latitude': 60.157252, 'longitude': 24.948687}, 'roof': {'latitude': 60.157252, 'longitude': 24.948687}}",Renne Korppila
