id,name,review_count,categories,rating,coordinates,location,distance,price
ugEdepE-1ik1ai2a7RgOLQ,Kahvihuone,2,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,"{'latitude': 60.1908079818892, 'longitude': 24.9485151665915}","{'address1': 'Aleksis Kiven katu 42', 'address2': '', 'address3': None, 'city': 'Helsinki', 'zip_code': '00510', 'country': 'FI', 'state': '', 'display_address': ['Aleksis Kiven katu 42', '00510 Helsinki', 'Finland']}",176.15083885732318,
lbBzoV50lPlcPGGcDI2lVw,Mikura Sushi,4,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 60.1907631, 'longitude': 24.9472525}","{'address1': 'Viipurinkatu 1 C', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00510', 'country': 'FI', 'state': '18', 'display_address': ['Viipurinkatu 1 C', '00510 Helsinki', 'Finland']}",181.20518649495216,€€
nxqJvOoJTxW0AfAncnJYIw,MusKan,2,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",4.0,"{'latitude': 60.1913412130312, 'longitude': 24.9452347014189}","{'address1': 'Kajaaninkatu 2', 'address2': 'Kajanagatan 2', 'address3': '', 'city': 'Helsinki', 'zip_code': '00510', 'country': 'FI', 'state': '18', 'display_address': ['Kajaaninkatu 2', 'Kajanagatan 2', '00510 Helsinki', 'Finland']}",185.5597030809307,
dp1ep3CLiiJ-fPCuGO7Aog,Alppilan Huone,3,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'bars', 'title': 'Bars'}]",3.0,"{'latitude': 60.19113, 'longitude': 24.94691}","{'address1': 'Porvoonkatu 19', 'address2': None, 'address3': '', 'city': 'Helsinki', 'zip_code': '00100', 'country': 'FI', 'state': '18', 'display_address': ['Porvoonkatu 19', '00100 Helsinki', 'Finland']}",187.79252530946397,
y6Ur01FXhRORIDhkxm4mSw,Weeruska,22,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}]",3.5,"{'latitude': 60.1908014222147, 'longitude': 24.9463999271393}","{'address1': 'Porvoonkatu 19', 'address2': 'Borgågatan 19', 'address3': None, 'city': 'HELSINKI', 'zip_code': '00510', 'country': 'FI', 'state': '18', 'display_address': ['Porvoonkatu 19', 'Borgågatan 19', '00510 HELSINKI', 'Finland']}",192.0606753467046,€€
pQSGzlujrDWYb4ILmGYRWw,KOKORO Sushi,2,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",5.0,"{'latitude': 60.19418, 'longitude': 24.95073}","{'address1': 'Elimäenkatu 9', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00510', 'country': 'FI', 'state': '01', 'display_address': ['Elimäenkatu 9', '00510 Helsinki', 'Finland']}",236.49699159164774,
dX2i5RekOASTVCXOCvsCPQ,Golden Rice Bowl,3,"[{'alias': 'chinese', 'title': 'Chinese'}]",2.5,"{'latitude': 60.1907387, 'longitude': 24.9445}","{'address1': 'Porvoonkatu 16', 'address2': None, 'address3': None, 'city': 'Helsinki', 'zip_code': '00510', 'country': 'FI', 'state': '18', 'display_address': ['Porvoonkatu 16', '00510 Helsinki', 'Finland']}",239.84038553738762,
-c5MiG5SSsDLMrvZ_gBF5Q,Sture 21,1,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",3.0,"{'latitude': 60.1922277, 'longitude': 24.9525574}","{'address1': 'Sturenkatu 21', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00510', 'country': 'FI', 'state': '18', 'display_address': ['Sturenkatu 21', '00510 Helsinki', 'Finland']}",258.34578323543184,
tJGEIpzbPOH4P-lN0s1_qg,Caruzello,1,"[{'alias': 'buffets', 'title': 'Buffets'}]",3.0,"{'latitude': 60.1883583, 'longitude': 24.9405003}","{'address1': 'Tivolokuja 1', 'address2': 'Linnanmäen keittiömaailma Kattila, 2krs.', 'address3': '', 'city': 'Helsinki', 'zip_code': '00510', 'country': 'FI', 'state': '18', 'display_address': ['Tivolokuja 1', 'Linnanmäen keittiömaailma Kattila, 2krs.', '00510 Helsinki', 'Finland']}",297.20178537197216,
8lk_YzQdc-KLmnMfL15uaw,Everest,1,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",4.0,"{'latitude': 60.1953392, 'longitude': 24.9472103}","{'address1': 'Elimäenkatu 20 A', 'address2': '', 'address3': '', 'city': 'Helsinki', 'zip_code': '00510', 'country': 'FI', 'state': '18', 'display_address': ['Elimäenkatu 20 A', '00510 Helsinki', 'Finland']}",312.2082629810623,
